launch_id,launch_time_utc,Location,Status Mission,label_prelim,Datum,latitude,longitude
136,2019-05-24 02:30:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Fri May 24, 2019 02:30 UTC",28.396837,-80.605659
137,2019-05-22 22:55:00+00:00,"LC-9, Taiyuan Satellite Launch Center, China",Failure,Atrasado,"Wed May 22, 2019 22:55 UTC",38.849,111.608
138,2019-05-22 00:00:00+00:00,"First Launch Pad, Satish Dhawan Space Centre, India",Success,OK,"Wed May 22, 2019 00:00 UTC",,
139,2019-05-17 15:48:00+00:00,"LC-2, Xichang Satellite Launch Center, China",Success,OK,"Fri May 17, 2019 15:48 UTC",28.246,102.026
140,2019-05-05 06:00:00+00:00,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Success,OK,"Sun May 05, 2019 06:00 UTC",,
141,2019-05-04 06:48:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Sat May 04, 2019 06:48 UTC",28.396837,-80.605659
142,2019-05-02 13:35:00+00:00,"Blue Origin Launch Site, West Texas, Texas, USA",Success,OK,"Thu May 02, 2019 13:35 UTC",,
143,2019-04-29 22:52:00+00:00,"Taiyuan Satellite Launch Center, China",Success,OK,"Mon Apr 29, 2019 22:52 UTC",38.849,111.608
144,2019-04-20 14:30:00+00:00,"LC-3, Xichang Satellite Launch Center, China",Success,OK,"Sat Apr 20, 2019 14:30 UTC",28.246,102.026
145,2019-04-17 20:46:00+00:00,"LP-0A, Wallops Flight Facility, Virginia, USA",Success,OK,"Wed Apr 17, 2019 20:46 UTC",37.8337,-75.4881
146,2019-04-11 22:35:00+00:00,"LC-39A, Kennedy Space Center, Florida, USA",Success,OK,"Thu Apr 11, 2019 22:35 UTC",28.572872,-80.64898
147,2019-04-04 17:04:00+00:00,"ELS, Guiana Space Centre, French Guiana, France",Success,OK,"Thu Apr 04, 2019 17:04 UTC",,
148,2019-04-04 11:01:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Thu Apr 04, 2019 11:01 UTC",45.9647,63.305
149,2019-04-01 03:57:00+00:00,"Second Launch Pad, Satish Dhawan Space Centre, India",Success,OK,"Mon Apr 01, 2019 03:57 UTC",,
150,2019-03-31 15:51:00+00:00,"LC-2, Xichang Satellite Launch Center, China",Success,OK,"Sun Mar 31, 2019 15:51 UTC",28.246,102.026
151,2019-03-28 23:27:00+00:00,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Success,OK,"Thu Mar 28, 2019 23:27 UTC",,
152,2019-03-27 09:39:00+00:00,"Site 95, Jiuquan Satellite Launch Center, China",Failure,Atrasado,"Wed Mar 27, 2019 09:39 UTC",40.96,100.298
153,2019-03-22 01:50:00+00:00,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",Success,OK,"Fri Mar 22, 2019 01:50 UTC",,
154,2019-03-16 00:26:00+00:00,"SLC-37B, Cape Canaveral AFS, Florida, USA",Success,OK,"Sat Mar 16, 2019 00:26 UTC",28.396837,-80.605659
155,2019-03-14 19:14:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Thu Mar 14, 2019 19:14 UTC",45.9647,63.305
156,2019-03-09 16:28:00+00:00,"LC-3, Xichang Satellite Launch Center, China",Success,OK,"Sat Mar 09, 2019 16:28 UTC",28.246,102.026
157,2019-03-02 17:45:00+00:00,"Vertical Launch Area, Spaceport America, New Mexico",Partial Failure,Atrasado,"Sat Mar 02, 2019 17:45 UTC",,
158,2019-03-02 07:49:00+00:00,"LC-39A, Kennedy Space Center, Florida, USA",Success,OK,"Sat Mar 02, 2019 07:49 UTC",28.572872,-80.64898
159,2019-02-27 21:37:00+00:00,"ELS, Guiana Space Centre, French Guiana, France",Success,OK,"Wed Feb 27, 2019 21:37 UTC",,
160,2019-02-22 01:45:00+00:00,"SLC-40, Cape Canaveral AFS, Florida, USA",Success,OK,"Fri Feb 22, 2019 01:45 UTC",28.396837,-80.605659
161,2019-02-21 16:47:00+00:00,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Success,OK,"Thu Feb 21, 2019 16:47 UTC",45.9647,63.305
162,2019-02-05 21:01:00+00:00,"ELA-3, Guiana Space Centre, French Guiana, France",Success,OK,"Tue Feb 05, 2019 21:01 UTC",,
163,,"Imam Khomeini Spaceport, Semnan Space Center, Iran",Failure,Atrasado,"Tue Feb 05, 2019",,
164,2019-01-24 18:07:00+00:00,"First Launch Pad, Satish Dhawan Space Centre, India",Success,OK,"Thu Jan 24, 2019 18:07 UTC",,
165,2019-01-23 15:05:00+00:00,"Blue Origin Launch Site, West Texas, Texas, USA",Success,OK,"Wed Jan 23, 2019 15:05 UTC",,
